RT,v
0.61317,0.10699
0.58475,0.21397
0.73487,0.085589
0.81831,0.053493
0.468,0.26747
0.53479,0.32096
0.81851,0.032096
0.61832,0.042794
0.46772,0.16048
0.80197,0.07489
0.60132,0.096288
0.48438,0.096288
0.51796,0.064192
0.46826,0.10699
0.46834,0.085589
1.3192,0.032096
0.95222,0.053493
0.4512,0.21397
0.41765,0.32096
0.80166,0.07489
0.75179,0.10699
1.403,0.021397
1.486,0.042794
2.4375,0.010699
0.40133,0.16048
0.68493,0.064192
0.35071,0.32096
1.1023,0.042794
0.73499,0.07489
0.53465,0.10699
0.65142,0.085589
1.1693,0.032096
0.93518,0.053493
0.55109,0.096288
0.58449,0.16048
0.55154,0.10699
1.7036,0.021397
0.40139,0.21397
0.46798,0.26747
0.75215,0.085589
0.88532,0.10699
0.61836,0.16048
0.46746,0.21397
0.58489,0.032096
0.7353,0.053493
0.60155,0.096288
0.63494,0.064192
0.71838,0.021397
0.41779,0.26747
0.36781,0.32096
0.53468,0.07489
0.53012,0.032096
0.38432,0.26747
1.6034,0.010699
0.43414,0.10699
0.35066,0.32096
0.60175,0.07489
0.46779,0.16048
0.38439,0.21397
0.50108,0.064192
0.50148,0.085589
0.46751,0.10699
0.75209,0.053493
0.9684,0.042794
1.3028,0.021397
0.58492,0.053493
0.43471,0.21397
0.41821,0.26747
0.43478,0.07489
0.55112,0.096288
0.45118,0.10699
0.45127,0.10699
0.83545,0.042794
1.3192,0.032096
0.60195,0.064192
0.38439,0.32096
0.55117,0.085589
0.45074,0.16048
3.4396,0.010699
0.435,0.16048
0.36803,0.26747
0.38473,0.21397
0.58478,0.07489
0.66826,0.064192
0.51775,0.10699
1.2191,0.021397
0.73503,0.042794
0.56814,0.096288
0.33433,0.32096
0.50126,0.053493
0.50116,0.085589
1.3861,0.010699
0.50107,0.10699
0.43433,0.032096
0.55133,0.053493
0.61815,0.064192
0.41772,0.26747
0.53469,0.10699
0.48501,0.16048
0.46749,0.085589
